price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,latitude,longitude,isZillowOwned,variableData,badgeInfo,pgapt,sgapt,zestimate,info3String,brokerName
445000,445000,"8916 Mountain Shadows Cv APT B, Austin, TX 78735",8916 Mountain Shadows Cv APT B,Austin,TX,78735,3,3,1802,30.269207,-97.86206,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$20,000 (Nov 4)'}",,ForSale,For Sale (Broker),1189900,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Realty Austin
1995000,1995000,"1701 Alguno Rd, Austin, TX 78757",1701 Alguno Rd,Austin,TX,78757,4,4,3443,30.333755,-97.73414,FALSE,"{'type': 'DAYS_ON', 'text': '19 days on Zillow'}",,ForSale,New Construction,2154600,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Jimmy Gilmore & Co
929900,929900,"1800 Kinney Ave, Austin, TX 78704",1800 Kinney Ave,Austin,TX,78704,2,2,1318,30.25207,-97.7686,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 2-4pm'}",,ForSale,For Sale (Broker),1048700,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
6495000,6495000,"2407 Pemberton Pl, Austin, TX 78703",2407 Pemberton Pl,Austin,TX,78703,5,6,5000,30.290514,-97.75361,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$500,000 (Nov 16)'}",,ForSale,For Sale (Broker),6553400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Douglas Elliman Real Estate
365000,365000,"11701 Lansdowne Rd, Austin, TX 78754",11701 Lansdowne Rd,Austin,TX,78754,4,2,2127,30.35524,-97.61292,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),421000,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Orchard Brokerage
800000,800000,"2507 Willow St, Austin, TX 78702",2507 Willow St,Austin,TX,78702,3,2,1724,30.253008,-97.716705,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$50,000 (Nov 16)'}",,ForSale,For Sale (Broker),838666,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Realty Austin
445000,445000,"6305 Roseborough Dr, Austin, TX 78747",6305 Roseborough Dr,Austin,TX,78747,4,3,2912,30.160515,-97.74256,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),483400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Orchard Brokerage
995000,995000,"3102 Tom Green St, Austin, TX 78705",3102 Tom Green St,Austin,TX,78705,5,3,2126,30.293776,-97.73442,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$66,000 (Nov 16)'}",,ForSale,For Sale (Broker),1031700,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Respace LLC
449500,449500,"1917 Teagle Dr, Austin, TX 78741",1917 Teagle Dr,Austin,TX,78741,2,3,1451,30.225286,-97.74014,FALSE,"{'type': 'DAYS_ON', 'text': '5 days on Zillow'}",,ForSale,For Sale (Broker),478800,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
715000,715000,"5807 Wagon Train Rd, Austin, TX 78749",5807 Wagon Train Rd,Austin,TX,78749,4,3,2581,30.220093,-97.86491,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$25,000 (Nov 16)'}",,ForSale,For Sale (Broker),739900,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
